,userID,musicbrainzID,plays
5920,121,729,1759
5923,121,3529,251
5924,121,427,179
5926,121,2830,97
5928,121,3531,75
5929,121,193,69
5934,121,3270,43
5940,121,1027,35
5943,121,3538,28
5944,121,265,27
5950,121,3542,22
5951,121,158,21
5954,121,3545,20
5955,121,3546,19
95021,1932,229,2970
95022,1932,12370,1353
95023,1932,787,1317
95024,1932,519,1278
95025,1932,671,1261
95026,1932,362,1242
95027,1932,3210,1165
95028,1932,568,1122
95029,1932,242,1093
95030,1932,1434,1015
95031,1932,240,999
95033,1932,212,934
95034,1932,771,924
95035,1932,207,871
95039,1932,2989,854
95040,1932,8045,702
95041,1932,1213,679
95042,1932,610,672
95043,1932,237,663
95044,1932,8723,653
95045,1932,964,623
95047,1932,246,601
95048,1932,1958,559
95049,1932,5262,549
95052,1932,4289,477
95053,1932,1157,475
95055,1932,5482,455
95056,1932,196,445
95059,1932,2145,438
95060,1932,1164,426
95061,1932,1753,416
95062,1932,84,415
95065,1932,2473,400
95067,1932,245,389
95068,1932,459,385
147826,3018,258,555
147829,3018,1168,154
147831,3018,212,125
147832,3018,11438,125
147834,3018,255,101
147835,3018,583,88
147836,3018,10581,84
147837,3018,2259,71
147848,3018,457,44
147849,3018,1204,44
147852,3018,3730,39
147854,3018,4544,38
147855,3018,2249,37
147857,3018,12584,31
147858,3018,6736,31
147861,3018,7310,31
147862,3018,1596,29
147863,3018,2142,28
147869,3018,3604,25
147870,3018,7736,25
147871,3018,13350,25
265132,5425,1261,280
265133,5425,2043,225
265134,5425,907,170
265135,5425,4544,120
265137,5425,5866,99
265139,5425,2371,98
265140,5425,4016,96
265141,5425,1259,91
265142,5425,250,90
265143,5425,6858,81
265144,5425,1446,75
265145,5425,2056,74
265147,5425,821,66
265151,5425,4062,61
265152,5425,1351,60
265154,5425,791,55
265156,5425,11879,55
265158,5425,14375,54
265160,5425,265,52
265161,5425,4659,50
265163,5425,15341,47
265165,5425,293,45
265166,5425,901,45
265168,5425,54,43
265171,5425,671,40
265173,5425,242,37
265174,5425,735,36
265176,5425,18629,33
265178,5425,787,32
265179,5425,5851,32
265181,5425,1389,31
265182,5425,4145,30
265183,5425,4273,30
265184,5425,6153,30
265185,5425,4817,29
265186,5425,267,28
265188,5425,2187,27
265189,5425,5853,24
265196,5425,240,21
265197,5425,924,21
265198,5425,1947,21
265200,5425,16724,20
301005,6155,75,1770
301006,6155,276,1464
301008,6155,745,992
301009,6155,246,833
301010,6155,1,756
301011,6155,280,662
301012,6155,283,567
301013,6155,5947,521
301014,6155,5729,483
301016,6155,381,353
301017,6155,374,345
301019,6155,1469,299
301020,6155,1192,295
301021,6155,2869,278
301025,6155,278,226
301026,6155,294,221
301027,6155,1153,200
301028,6155,1023,195
301029,6155,301,190
301030,6155,1389,188
301031,6155,494,185
301032,6155,1419,184
301033,6155,41,184
301034,6155,763,171
301037,6155,774,133
301038,6155,15031,130
301039,6155,1896,119
301040,6155,2083,116
301042,6155,169,111
301043,6155,2064,108
301044,6155,1195,106
301045,6155,1078,105
301047,6155,1080,97
301048,6155,1221,97
301049,6155,622,95
364339,7450,8561,2342
364340,7450,1618,1907
364342,7450,936,1617
364343,7450,12121,1470
364344,7450,7084,1189
364345,7450,1642,980
364346,7450,351,962
364347,7450,3480,866
364348,7450,1778,648
364349,7450,546,550
364351,7450,2792,468
364354,7450,1404,302
364359,7450,565,252
364360,7450,7124,225
364361,7450,1641,210
364363,7450,1584,205
364364,7450,3491,201
364365,7450,12125,199
364367,7450,2257,185
364368,7450,11106,183
364370,7450,276,173
364371,7450,12084,172
364372,7450,470,156
364373,7450,7106,143
364374,7450,3288,139
364376,7450,845,134
364377,7450,3279,133
364378,7450,265,133
364382,7450,3967,123
364385,7450,5328,106
364388,7450,15042,100
469037,9595,1813,107
469038,9595,2362,92
469039,9595,28,91
469040,9595,354,84
469042,9595,622,68
469044,9595,961,62
469045,9595,259,62
469046,9595,24,60
469047,9595,2581,60
469048,9595,248,59
469050,9595,5014,52
469051,9595,986,48
469052,9595,560,48
469054,9595,233,47
469055,9595,1449,47
469057,9595,1960,46
469058,9595,201,44
469059,9595,1146,44
469060,9595,1176,44
469062,9595,95,42
469063,9595,708,42
469064,9595,1644,41
469065,9595,956,40
469066,9595,2355,38
469067,9595,601,37
469068,9595,74,36
469069,9595,960,35
469070,9595,217,35
469071,9595,2947,34
469074,9595,3891,32
469075,9595,496,31
469076,9595,477,29
469078,9595,516,28
469079,9595,544,27
469080,9595,254,27
469081,9595,1157,26
469082,9595,1213,23
469083,9595,5417,23
469084,9595,75,21
469085,9595,158,21
469087,9595,2363,19
469088,9595,269,19
469089,9595,2187,19
469090,9595,7332,17
469092,9595,2596,16
469095,9595,50,15
469096,9595,5680,14
469097,9595,5682,14
469098,9595,5702,14
595180,12174,14492,504
595186,12174,559,35
595187,12174,6003,33
595189,12174,592,32
595191,12174,16703,29
595192,12174,4023,27
595193,12174,13797,27
595194,12174,8021,26
595199,12174,554,21
595200,12174,6664,21
595204,12174,6089,19
595205,12174,14072,19
595206,12174,432,16
595207,12174,553,15
595208,12174,3201,14
595210,12174,3832,13
595211,12174,564,12
595213,12174,566,10
595215,12174,557,8
595216,12174,8617,7
595218,12174,3830,7
595219,12174,158,7
595220,12174,6115,7
839334,17190,917,594
839335,17190,4219,455
839336,17190,896,368
839337,17190,4217,204
839338,17190,355,191
839339,17190,901,172
839340,17190,427,162
839341,17190,883,130
839342,17190,5966,130
839343,17190,1265,103
839345,17190,7893,92
839347,17190,316,82
839348,17190,284,68
839349,17190,193,68
839352,17190,177,61
839353,17190,423,60
839354,17190,2264,54
839355,17190,910,54
839356,17190,4228,49
839358,17190,1181,38
839359,17190,5,28
839361,17190,435,24
839362,17190,974,22
839364,17190,8406,21
839365,17190,1947,21
839367,17190,7085,20
839369,17190,4853,19
839370,17190,320,19
839372,17190,497,18
839373,17190,2788,17
839374,17190,158,16
839376,17190,1572,16
839377,17190,13359,16
839379,17190,10627,14
987676,20213,2082,687
987678,20213,7328,417
987680,20213,682,323
987682,20213,273,242
987683,20213,1144,206
987684,20213,1149,205
987685,20213,10107,197
987688,20213,434,184
987690,20213,1559,178
987691,20213,5602,178
987692,20213,1581,175
987698,20213,2662,163
987700,20213,2493,154
987702,20213,300,138
987703,20213,546,136
987704,20213,246,132
987706,20213,3271,126
987708,20213,7600,116
987710,20213,6318,113
987711,20213,3287,112
987714,20213,7459,101
987716,20213,4219,96
987717,20213,1779,94
987718,20213,620,93
987719,20213,689,92
987720,20213,423,92
987721,20213,33056,92
987723,20213,504,87
1213314,24892,931,2562
1213315,24892,6316,587
1213317,24892,11048,553
1213318,24892,11046,550
1213319,24892,13114,534
1213320,24892,284,448
1213321,24892,3067,331
1213322,24892,728,325
1213323,24892,911,297
1213324,24892,2372,293
1213325,24892,566,274
1213327,24892,457,267
1213332,24892,4506,180
1213333,24892,4267,174
1213334,24892,5888,172
1213335,24892,18924,159
1213336,24892,690,158
1213337,24892,954,157
1213338,24892,1820,157
1213339,24892,2661,156
1213342,24892,4512,140
1213343,24892,355,136
1213344,24892,2395,135
1213346,24892,5472,133
1213348,24892,704,132
1213350,24892,9957,130
1213351,24892,6215,119
1213352,24892,680,112
1213353,24892,19456,112
1213356,24892,916,104
1213357,24892,5391,103
1289341,26460,5843,723
1289343,26460,1486,584
1289344,26460,710,534
1289345,26460,18985,529
1289346,26460,5,460
1289348,26460,250,378
1289349,26460,777,376
1289350,26460,265,354
1289351,26460,256,334
1289352,26460,6661,322
1289353,26460,3048,285
1289355,26460,3117,255
1289358,26460,2815,233
1289359,26460,7199,214
1289360,26460,11275,214
1289361,26460,177,209
1289363,26460,1488,204
1289364,26460,5744,202
1289365,26460,4099,196
1289366,26460,498,194
1289368,26460,7103,179
1289370,26460,3542,171
1289372,26460,6737,165
1289376,26460,5450,153
1289381,26460,5091,136
1289382,26460,4093,130
1289383,26460,5107,126
1289384,26460,257,124
1289385,26460,3546,118
1289388,26460,467,113
1289393,26460,3569,100
1289396,26460,354,97
1289397,26460,600,96
1289398,26460,1078,93
1289399,26460,3278,91
1289400,26460,11279,89
1289402,26460,14368,88
1375248,28200,13081,554
1375251,28200,911,164
1375253,28200,158,139
1375254,28200,15859,127
1375258,28200,8618,115
1375259,28200,921,115
1375260,28200,787,98
1375262,28200,922,85
1375267,28200,604,67
1375268,28200,897,67
1375272,28200,931,58
1375273,28200,11202,57
1375274,28200,355,55
1375277,28200,6477,50
1375278,28200,351,50
1375281,28200,10326,48
1375282,28200,5013,48
1375283,28200,920,47
1375285,28200,8424,45
1375287,28200,520,44
1375288,28200,12320,43
1375290,28200,938,41
1429470,29312,472,3291
1429471,29312,62,2157
1429472,29312,18862,1504
1429473,29312,283,787
1429474,29312,480,685
1429475,29312,8538,607
1429476,29312,475,350
1429477,29312,5413,286
1429478,29312,5,257
1429479,29312,217,255
1429480,29312,416,232
1429482,29312,3508,149
1429483,29312,246,149
1429484,29312,492,146
1429488,29312,503,113
1429489,29312,491,105
1429490,29312,1023,86
1429491,29312,5360,83
1429492,29312,28,83
1429493,29312,4567,82
1429494,29312,1226,80
1429495,29312,5599,72
1429496,29312,485,72
1429497,29312,687,62
1429500,29312,55,59
1429501,29312,1271,57
1429502,29312,5605,48
1429503,29312,301,43
1429505,29312,75,41
1429507,29312,1509,37
1429508,29312,69,36
1429509,29312,17582,36
1429511,29312,2506,31
1429512,29312,479,31
1429513,29312,158,30
1618072,33172,1,5098
1618073,33172,1419,1586
1618075,33172,32683,1034
1618076,33172,5984,927
1618077,33172,5563,842
1618078,33172,10844,793
1618079,33172,9301,715
1618080,33172,4521,567
1618081,33172,869,419
1618082,33172,1428,285
1618083,33172,677,278
1618084,33172,849,261
1618086,33172,870,229
1618088,33172,9010,214
1618090,33172,17193,198
1618091,33172,20335,195
1618092,33172,689,191
1618095,33172,892,169
1618096,33172,2807,158
1618097,33172,497,155
1618098,33172,6464,143
1618099,33172,936,133
1618100,33172,351,130
1618104,33172,687,124
1618105,33172,5,120
1618107,33172,2293,118
1618108,33172,6015,118
1618110,33172,158,112
1618111,33172,4526,112
1618112,33172,604,111
1618114,33172,854,108
1618117,33172,62,92
1792583,36722,578,2670
1792584,36722,2573,1056
1792585,36722,2577,754
1792586,36722,767,600
1792587,36722,996,569
1792589,36722,3674,509
1792590,36722,217,489
1792591,36722,1493,486
1792592,36722,729,403
1792593,36722,703,352
1792594,36722,199,346
1792595,36722,560,336
1792599,36722,2901,275
1792600,36722,724,267
1792602,36722,572,253
1792603,36722,2575,252
1792604,36722,201,236
1792605,36722,65,234
1792606,36722,28361,233
1792607,36722,4896,219
1792608,36722,4557,211
1792610,36722,16575,183
1792612,36722,581,179
1792614,36722,1494,173
1792615,36722,1042,164
1792616,36722,240,160
1792617,36722,4046,159
1792618,36722,986,159
1792619,36722,1506,157
1792621,36722,1146,156
1792623,36722,1655,144
1792626,36722,1804,139
1792627,36722,198,137
1792628,36722,60,137
1792629,36722,769,135
1792630,36722,204,129
1792632,36722,1217,122
1861964,38139,4506,223
1861965,38139,897,133
1861966,38139,7876,86
1861967,38139,500,67
1861968,38139,1797,35
1861969,38139,158,27
1861970,38139,543,25
1861971,38139,355,24
1861972,38139,1759,23
1861973,38139,2804,22
1861974,38139,5,21
1861976,38139,1698,20
1861977,38139,689,16
1861978,38139,427,16
1861981,38139,1151,11
1861982,38139,5377,10
1861983,38139,293,8
1861984,38139,276,8
1861985,38139,970,8
1861987,38139,2957,7
1861988,38139,7597,7
1861991,38139,6675,7
1861992,38139,37,7
1861994,38139,845,5
1861995,38139,55,5
1861997,38139,300,5
1861999,38139,11253,5
1862000,38139,1689,5
1862002,38139,906,4
1862003,38139,685,4
1862004,38139,1427,4
1862005,38139,5751,4
1862006,38139,301,4
1862008,38139,81,4
2047329,41940,735,1677
2047330,41940,196,1324
2047332,41940,901,773
2047333,41940,20461,696
2047334,41940,4608,593
2047335,41940,1506,485
2047336,41940,22219,410
2047337,41940,3119,389
2047338,41940,588,383
2047339,41940,3106,347
2047340,41940,1105,338
2047344,41940,1448,242
2047346,41940,20791,223
2047349,41940,251,215
2047350,41940,10562,205
2047352,41940,1080,181
2047354,41940,5,165
2047355,41940,1107,158
2047356,41940,2818,157
2047358,41940,7955,154
2047359,41940,430,148
2047361,41940,9668,145
2047362,41940,5167,142
2047363,41940,16289,136
2047365,41940,217,132
2047366,41940,246,131
2047369,41940,2726,130
2047371,41940,249,128
2047373,41940,6635,126
2288093,46869,1395,115
2288097,46869,7176,94
2288098,46869,246,94
2288099,46869,546,90
2288101,46869,14256,79
2288102,46869,572,77
2288103,46869,254,71
2288104,46869,19541,71
2288110,46869,6259,63
2288112,46869,1967,62
2288117,46869,2023,52
2288118,46869,408,52
2288119,46869,1952,52
2288120,46869,2946,50
2288122,46869,6984,48
2288129,46869,158,44
2288131,46869,250,43
2288132,46869,2365,42
2288133,46869,3615,42
2288134,46869,9982,41
2288135,46869,2090,40
2288137,46869,7939,39
2288139,46869,4124,39
2288141,46869,2146,39
2830011,57966,51,1920
2830012,57966,2703,1754
2830013,57966,217,1510
2830014,57966,201,1441
2830015,57966,200,1274
2830017,57966,158,912
2830018,57966,233,662
2830019,57966,242,655
2830020,57966,959,649
2830021,57966,1489,608
2830022,57966,2368,563
2830023,57966,246,549
2830025,57966,195,532
2830026,57966,41,513
2830027,57966,1312,489
2830028,57966,248,488
2830029,57966,12719,428
2830030,57966,254,394
2830031,57966,1505,383
2830033,57966,1148,332
2830034,57966,2901,324
2830036,57966,544,302
2830038,57966,660,293
2830039,57966,708,289
2830041,57966,230,263
2830042,57966,4083,261
2830044,57966,4544,240
2830045,57966,1147,218
2830046,57966,8135,204
2830048,57966,4340,198
2830050,57966,236,181
2830052,57966,549,164
2830053,57966,1080,153
2830054,57966,3922,153
2830055,57966,2032,139
2830056,57966,220,137
2830058,57966,4763,133
2830060,57966,1444,127
2841709,58204,2259,95
2841710,58204,1601,62
2841712,58204,6582,55
2841714,58204,614,47
2841715,58204,5656,47
2841716,58204,2212,46
2841717,58204,5515,45
2841718,58204,4418,44
2841719,58204,2287,43
2841720,58204,23638,39
2841721,58204,602,38
2841725,58204,15210,29
2841727,58204,6809,27
2841729,58204,4420,26
2841730,58204,890,25
2841731,58204,6804,24
2841733,58204,5534,23
2841736,58204,2656,22
2841737,58204,4067,22
2841739,58204,5038,22
2841746,58204,5759,20
2841748,58204,158,20
2841750,58204,3132,20
2841751,58204,5714,20
2841752,58204,6803,19
2841755,58204,610,18
2841758,58204,9721,17
2841762,58204,1646,15
3253724,66632,3658,1233
3253727,66632,5628,955
3253728,66632,3653,676
3253729,66632,6419,617
3253732,66632,4528,571
3253733,66632,5186,511
3253734,66632,1836,470
3253735,66632,20,464
3253741,66632,10846,342
3253743,66632,10041,273
3253745,66632,5564,252
3253746,66632,6428,244
3253747,66632,10029,236
3253748,66632,8011,231
3253750,66632,919,187
3253752,66632,7054,183
3253753,66632,13246,164
3253758,66632,1191,144
3253766,66632,8000,95
3253767,66632,193,93
3678311,75336,15614,821
3678312,75336,3067,744
3678313,75336,2687,444
3678314,75336,560,425
3678315,75336,3403,419
3678317,75336,3842,416
3678318,75336,435,409
3678319,75336,630,363
3678320,75336,290,359
3678321,75336,351,348
3678322,75336,5,343
3678323,75336,906,254
3678325,75336,4927,229
3678326,75336,75,225
3678327,75336,217,222
3678328,75336,7731,219
3678329,75336,96,214
3678330,75336,355,190
3678331,75336,421,190
3678332,75336,10635,181
3678333,75336,689,180
3678335,75336,70,176
3678337,75336,432,166
3678338,75336,300,165
3678339,75336,2811,163
3678341,75336,767,156
3678342,75336,553,143
3678343,75336,972,141
3678344,75336,13793,140
3678345,75336,424,139
3678346,75336,1157,133
3678348,75336,423,120
3678350,75336,918,114
3678352,75336,3674,112
3678353,75336,158,111
3678354,75336,3968,109
3678355,75336,293,109
3678358,75336,4509,103
3678360,75336,1145,102
3918145,80232,2671,4
3918149,80232,2663,2
3918150,80232,3778,2
3918152,80232,2672,2
3918154,80232,2674,2
3918155,80232,2686,2
3918156,80232,1778,2
3918157,80232,4381,2
3918165,80232,3772,1
3918167,80232,18268,1
3918172,80232,1401,1
3918173,80232,3782,1
3918175,80232,3763,1
3918176,80232,2664,1
3918178,80232,890,1
3918181,80232,3762,1
3918183,80232,7937,1
3918186,80232,349,1
3918188,80232,613,1
3918189,80232,12847,1
4105490,84070,566,1432
4105491,84070,984,542
4105492,84070,2589,506
4105493,84070,573,446
4105494,84070,4443,343
4105495,84070,9978,330
4105496,84070,432,319
4105497,84070,1181,304
4105498,84070,630,303
4105499,84070,310,302
4105500,84070,3209,273
4105502,84070,578,245
4105503,84070,1851,245
4105504,84070,3674,207
4105509,84070,309,183
4105510,84070,158,169
4105511,84070,631,164
4105512,84070,1183,164
4105513,84070,616,159
4105514,84070,166,152
4105515,84070,1947,134
4105516,84070,1756,133
4105517,84070,12725,132
4105518,84070,366,131
4105521,84070,5225,128
4105522,84070,9725,126
4105523,84070,3830,124
4105524,84070,9723,117
4105526,84070,606,113
4105527,84070,2867,110
4105528,84070,909,105
4105529,84070,6011,97
4105531,84070,6312,96
4105532,84070,3223,95
4105534,84070,2444,91
4477954,91705,996,438
4477955,91705,274,70
4477957,91705,3861,50
4477958,91705,993,50
4477960,91705,2498,45
4477961,91705,655,42
4477962,91705,1483,40
4477963,91705,728,40
4477964,91705,2064,39
4477965,91705,885,38
4477966,91705,3860,37
4477967,91705,11252,37
4477970,91705,276,31
4477972,91705,31376,30
4477974,91705,3915,27
4477975,91705,2675,24
4477976,91705,9300,23
4477978,91705,13716,22
4477979,91705,2117,22
4477980,91705,2052,22
4477981,91705,12,21
4477982,91705,202,21
4477983,91705,8373,19
4477988,91705,3880,18
4477989,91705,203,18
4477990,91705,2048,18
4477991,91705,1577,17
4477993,91705,780,16
4477994,91705,1572,16
4477995,91705,5943,15
4477997,91705,1252,15
4477999,91705,28,15
4678561,95816,775,900
4678562,95816,658,877
4678563,95816,3753,868
4678564,95816,4856,635
4678565,95816,10096,407
4678567,95816,5519,384
4678568,95816,7916,371
4678569,95816,158,359
4678570,95816,993,336
4678571,95816,4058,334
4678572,95816,282,314
4678573,95816,246,251
4678575,95816,416,222
4678576,95816,726,206
4678577,95816,10481,205
4678578,95816,2659,196
4678579,95816,2040,195
4678580,95816,10786,193
4678581,95816,3195,187
4678582,95816,10785,182
4678583,95816,729,179
4678586,95816,4870,163
4678588,95816,960,159
4678589,95816,4867,155
4678590,95816,273,154
4678592,95816,4880,125
4678593,95816,2279,117
4678594,95816,3599,115
4678595,95816,945,113
4678596,95816,267,101
4678597,95816,4079,100
4678599,95816,4039,87
4678601,95816,672,85
4678602,95816,2446,84
4678603,95816,265,82
4678604,95816,9805,70
4678605,95816,1491,68
4678608,95816,6382,65
4678610,95816,4871,62
4730205,96874,3741,1820
4730206,96874,4719,1516
4730207,96874,4236,1344
4730208,96874,2806,1044
4730209,96874,158,1021
4730211,96874,4230,871
4730212,96874,470,866
4730213,96874,2081,822
4730214,96874,2432,792
4730215,96874,276,744
4730216,96874,3373,731
4730217,96874,6658,688
4730219,96874,2279,509
4730220,96874,3719,507
4730222,96874,435,362
4730223,96874,762,350
4730224,96874,423,346
4730225,96874,280,329
4730226,96874,2809,324
4730228,96874,17917,276
4730229,96874,896,265
4730231,96874,917,221
4730233,96874,848,208
4730235,96874,4546,192
4730236,96874,949,190
4730237,96874,3705,186
4730238,96874,28,163
4730239,96874,2827,147
4730240,96874,427,132
4730242,96874,3982,89
4730244,96874,845,84
4730247,96874,909,61
4730248,96874,40,60
4730249,96874,685,56
4730250,96874,883,49
4730251,96874,217,47
4730253,96874,1476,45
4957359,101587,13993,1740
4957360,101587,24,1712
4957362,101587,408,1318
4957363,101587,673,1064
4957364,101587,1569,1061
4957366,101587,193,981
4957367,101587,3376,907
4957368,101587,4549,856
4957369,101587,892,845
4957370,101587,24375,693
4957371,101587,284,672
4957372,101587,5770,662
4957374,101587,996,648
4957376,101587,15819,591
4957377,101587,901,591
4957379,101587,2064,549
4957380,101587,2448,549
4957382,101587,9969,533
4957383,101587,997,510
4957384,101587,267,506
4957386,101587,528,493
4957387,101587,28,484
4957388,101587,1559,481
4957391,101587,1027,449
4957394,101587,9456,431
4957396,101587,353,425
4957397,101587,2031,419
4957398,101587,104,405
4957399,101587,2194,392
4957400,101587,1207,391
4957401,101587,1506,389
4957402,101587,2090,388
4957403,101587,1389,380
4957404,101587,1763,371
4957405,101587,786,367
4957406,101587,719,366
4957407,101587,5246,362
4957408,101587,1585,360
4957410,101587,1000,340
4957411,101587,787,339
4957412,101587,2099,336
4968185,101811,982,1229
4968186,101811,1260,964
4968188,101811,16461,640
4968189,101811,37,611
4968190,101811,20245,584
4968191,101811,24237,548
4968192,101811,26820,532
4968193,101811,16994,510
4968194,101811,660,470
4968195,101811,7571,467
4968197,101811,3212,446
4968199,101811,800,417
4968201,101811,1109,403
4968203,101811,1486,391
4968205,101811,41,377
4968206,101811,1008,355
4968207,101811,801,340
4968208,101811,1410,326
4968209,101811,1351,318
4968211,101811,1155,304
4968213,101811,6254,292
4968214,101811,8132,286
4968215,101811,4033,277
4968216,101811,764,269
4968217,101811,2788,264
4968218,101811,1952,261
4968219,101811,16142,253
4968220,101811,778,234
4968221,101811,885,232
4968222,101811,2042,224
4968224,101811,675,219
4968225,101811,1497,216
4968226,101811,3169,215
4968227,101811,6291,215
4968228,101811,3404,213
4968229,101811,1817,209
4968231,101811,1080,201
4968233,101811,886,198
4968234,101811,1453,193
4968236,101811,993,186
4968237,101811,1728,181
4968239,101811,2043,174
4968240,101811,635,174
4968241,101811,110,173
4968242,101811,664,172
4968243,101811,3195,170
4968244,101811,655,167
4968245,101811,75,163
4968246,101811,10422,160
4968247,101811,1004,156
4968248,101811,6998,146
4968249,101811,553,143
5412517,110896,6737,857
5412518,110896,2030,429
5412521,110896,723,411
5412522,110896,2120,361
5412523,110896,1967,335
5412525,110896,250,230
5412527,110896,3051,215
5412528,110896,3045,208
5412529,110896,121,188
5412530,110896,9961,162
5412533,110896,2146,140
5412535,110896,265,99
5412537,110896,3440,95
5412539,110896,7379,92
5412540,110896,2034,92
5412542,110896,5805,90
5412544,110896,11999,83
5412546,110896,2249,76
5412548,110896,1753,72
5412549,110896,2279,72
5412551,110896,2267,68
5412552,110896,202,67
5412553,110896,356,66
5412554,110896,9456,66
5412555,110896,16289,65
5412557,110896,227,62
5412560,110896,1572,57
5480711,112294,1763,212
5480712,112294,293,198
5480714,112294,1207,104
5480715,112294,6868,97
5480716,112294,4324,94
5480718,112294,1380,74
5480720,112294,1078,61
5480721,112294,382,56
5480722,112294,202,55
5480723,112294,13119,54
5480726,112294,297,49
5480730,112294,901,37
5480732,112294,158,36
5480733,112294,75,36
5480734,112294,10266,34
5480735,112294,1080,30
5480737,112294,11330,30
5480738,112294,278,27
5480739,112294,10855,26
5480740,112294,159,25
5480742,112294,1262,24
5480743,112294,6379,24
5480745,112294,1275,23
5480746,112294,12865,22
5480748,112294,9404,22
5480749,112294,4252,22
5658177,115922,338,967
5658178,115922,62,947
5658179,115922,1252,814
5658180,115922,2847,778
5658181,115922,11330,607
5658183,115922,395,497
5658184,115922,1591,358
5658185,115922,886,356
5658186,115922,2211,348
5658187,115922,416,323
5658188,115922,5013,297
5658189,115922,1269,288
5658191,115922,1226,255
5658192,115922,1858,218
5658193,115922,329,198
5658194,115922,1581,177
5658195,115922,1559,170
5658196,115922,273,166
5658197,115922,159,159
5658198,115922,494,154
5658199,115922,293,152
5658201,115922,158,128
5658203,115922,353,110
5658204,115922,6477,105
5658205,115922,414,95
5658207,115922,10266,91
5658208,115922,375,86
5658209,115922,1778,86
5658210,115922,349,86
5658211,115922,1782,84
5658212,115922,447,83
5658215,115922,1078,77
5658217,115922,332,73
5658218,115922,294,72
5658219,115922,500,72
5658220,115922,528,70
5658221,115922,1501,69
5658224,115922,357,63
5658228,115922,15802,48
5728270,117356,504,550
5728271,117356,16536,378
5728274,117356,511,254
5728275,117356,1215,239
5728276,117356,3591,233
5728277,117356,2380,226
5728278,117356,3200,176
5728279,117356,362,176
5728280,117356,5255,158
5728281,117356,1434,146
5728283,117356,2121,136
5728285,117356,11997,119
5728290,117356,8616,106
5728291,117356,11609,106
5728293,117356,158,101
5728296,117356,962,95
5728297,117356,773,93
5728298,117356,6834,83
5728299,117356,1206,80
5728300,117356,28887,79
5728302,117356,1162,76
5728303,117356,5518,74
5728304,117356,1960,73
5728305,117356,13872,72
5728306,117356,1217,71
5728309,117356,4588,68
5728311,117356,583,66
5728314,117356,6273,61
5728315,117356,11031,60
5728317,117356,2608,58
5728318,117356,3599,58
6223946,127503,408,610
6223947,127503,2211,584
6223949,127503,5,543
6223950,127503,375,462
6223951,127503,62,442
6223953,127503,2074,412
6223954,127503,1786,409
6223955,127503,7085,393
6223956,127503,9711,390
6223957,127503,10428,390
6223958,127503,2941,330
6223959,127503,470,288
6223961,127503,710,274
6223962,127503,1377,266
6223963,127503,24,266
6223964,127503,1577,264
6223965,127503,2946,255
6223966,127503,5084,244
6223967,127503,1163,237
6223968,127503,713,230
6223969,127503,10275,230
6223971,127503,13728,225
6223973,127503,5743,209
6223975,127503,353,204
6223976,127503,506,200
6223979,127503,11910,183
6223980,127503,1367,179
6223981,127503,1148,177
6223982,127503,2315,173
6223984,127503,6019,165
6223986,127503,374,159
6223989,127503,1647,144
6223990,127503,6015,143
6223991,127503,331,141
6223992,127503,5525,139
6223993,127503,7125,132
6223995,127503,1961,128
6367988,130451,177,1192
6367989,130451,185,1183
6367990,130451,2033,1106
